id,almacen,referencia,cod_barra,producto,categoria,precio_venta,cantidad,proveedor
1,Local 1,7702354956332,7702354956332,acondicionador nutribela  reparacion intensiva x 15 ml,abarrotes,1300,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
2,Local 1,7702174827485,7702174827485,Gomas trolli Crocydrilos 40g,dulceria,1600,2,TECNOVENTAS DISTRIBUCIONES
3,Local 1,7702097032782,7702097032782,la constancia mayonesa x 380 g,abarrotes,10000,12,COLOMBINA DISTRIBUCIONES
4,Local 1,7702097137753,7702097137753,la constancia salsa rosada x 190 g,abarrotes,7300,8,COLOMBINA DISTRIBUCIONES
5,Local 1,7702090064186,7702090064186,manzana postobon x  2.5 litros,bebidas,6000,93,InterPOS
6,Local 1,7702020020510,7702020020510,Mezcla pancakes 100gr,abarrotes,2500,47,DISTRIMARIO SAS
7,Local 1,7702026147594,7702026147594,pequeñin almendra x 24 pañitos,aseo,3500,10,DISTRIMARIO SAS
8,Local 1,7702031503361,7702031503361,Protectores Carefree perfumados x150,aseo,17500,21,ALVARO MUÑOZ
9,Local 1,7709947592205,7709947592205,tisanas angel manzanilla x 15 g,abarrotes,2000,63,COMESTIBLES LABOYANA
10,Local 1,7702191522004,7702191522004,"3d 1,8L bomba de limpieza",CATEGORIA ESTANDAR,18500,20,DISTRICUELLAR DISTRIBUCIONES CUELLAR
11,Local 1,7702191522608,7702191522608,3D 1kg bicarbonato y aloe,CATEGORIA ESTANDAR,9600,10,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
12,Local 1,7702191521960,7702191521960,3d 1L bomba de limpieza,CATEGORIA ESTANDAR,12000,17,DISTRICUELLAR DISTRIBUCIONES CUELLAR
13,Local 1,7702191163528,7702191163528,3D 2L,CATEGORIA ESTANDAR,19900,21,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
14,Local 1,7702191521854,7702191521854,3D 3kg,CATEGORIA ESTANDAR,25000,18,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
15,Local 1,7702191522639,7702191522639,3D 3kg explosion citrica,CATEGORIA ESTANDAR,24500,21,DISTRICUELLAR DISTRIBUCIONES CUELLAR
16,Local 1,7702191522592,7702191522592,3D 500gr,CATEGORIA ESTANDAR,4500,993,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
17,Local 1,7702191522561,7702191522561,3D Bicarbonato 125g,aseo,1500,96,UNIMASIVOS .
18,Local 1,7702191522578,7702191522578,3D bicarbonato 250gr,CATEGORIA ESTANDAR,2900,19,DISTRICUELLAR DISTRIBUCIONES CUELLAR
19,Local 1,7702191521816,7702191521816,3d jabon en polvo aroma explosion de manzana,aseo,4500,28,ALVARO MUÑOZ
20,Local 1,7702191524022,7702191524022,3D Lavanda 2kg,aseo,17200,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
21,Local 1,7702191452066,7702191452066,3d multiuso polvo bicarbonato + aloe vera 1 kg,aseo,8500,10,ALVARO MUÑOZ
22,Local 1,7702191521830,7702191521830,3d multiusos jabon aroma explosion de manzanas,aseo,8400,9,ALVARO MUÑOZ
23,Local 1,7702191521823,7702191521823,3D multiusos manzana x 1 kg,aseo,8500,7,UNIMASIVOS .
24,Local 1,7702191452059,7702191452059,3d polvo bicarbonato aloe vera,aseo,4500,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
25,Local 1,7702622423139,7702622423139,7Cereale original,abarrotes,4000,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
26,Local 1,7702622423146,7702622423146,7Cereales Fresa,CATEGORIA ESTANDAR,4000,998,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
27,Local 1,7702622423153,7702622423153,7Cereales Vainilla,CATEGORIA ESTANDAR,4000,103,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
28,Local 1,7702192387503,7702192387503,7up 1L,bebidas,3500,9,InterPOS
29,Local 1,7702192052982,7702192052982,7up postobon x 3.125 l,bebidas,8000,22,InterPOS
30,Local 1,7896312,7896321,@ Azucar,abarrotes,44000,105,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
31,Local 1,7702175108460,7702175108460,ablandacarnes el rey x 70 g,abarrotes,1500,13,DISTRIALDANA .
32,Local 1,304,304,aceite 3 en uno,aseo,3600,10,DISTRIVENTAS DEL HUILA
33,Local 1,7709578345256,7709578345256,Aceite 3b 500cc,CATEGORIA ESTANDAR,2500,5,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
34,Local 1,7709578345133,7709578345133,Aceite 3b 900,abarrotes,7600,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
35,Local 1,7707223669672,7707223669672,aceite capilar de argan x 10 g,aseo,1800,94,DISTRIHOGAR B.B
36,Local 1,7707223664394,7707223664394,aceite capilar de cebolla y romero,aseo,1800,14,DISTRIVENTAS DEL HUILA
37,Local 1,7709154396535,7709154396535,aceite capilar de coco x 10 g,aseo,1800,16,DISTRIHOGAR B.B
38,Local 1,7709990198461,7709990198461,aceite de almedras 12ml,autoservicio servitodo thaliana,1600,11,DISTRIVENTAS DEL HUILA
39,Local 1,7815552369139,7815552369139,Aceite de coco jeferson,aseo,4200,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
40,Local 1,7702191349946,7702191349946,aceite de jojoba argan y sabila x510 ml,aseo,18500,12,UNIMASIVOS .
41,Local 1,7135280364221,7135280364221,Aceite de naranja jeferson,aseo,4200,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
42,Local 1,7702011261007,7702011261007,Aceite de oliva 250ml,abarrotes,26800,8,COLOMBINA DISTRIBUCIONES
43,Local 1,7707145300073,7707145300073,aceite de ricino 30 cc,medicamentos,2600,8,TECNOVENTAS DISTRIBUCIONES
44,Local 1,7709733403630,7709733403630,Aceite del valle 1000,CATEGORIA ESTANDAR,7300,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
45,Local 1,7709062601646,7709062601646,aceite super soya x 730 ml,abarrotes,8200,12,DISTRICUELLAR DISTRIBUCIONES CUELLAR
46,Local 1,7709578345157,7709578345157,Aceite tresb 3000,CATEGORIA ESTANDAR,23000,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
47,Local 1,7709578345201,7709578345201,aceite tresb 500,abarrotes,4400,2001,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
48,Local 1,7707337870100,7707337870100,aceite uno A x 1000,abarrotes,8000,852,DISTRICUELLAR DISTRIBUCIONES CUELLAR
49,Local 1,7709954508343,7709954508343,aceite uno A x 2000,abarrotes,15600,892,DISTRICUELLAR DISTRIBUCIONES CUELLAR
50,Local 1,7709460559129,7709460559129,aceite uno A x 250,abarrotes,2500,73,DISTRICUELLAR DISTRIBUCIONES CUELLAR
51,Local 1,7708921437563,7708921437563,aceite uno A x 3000,abarrotes,21000,54,DISTRICUELLAR DISTRIBUCIONES CUELLAR
52,Local 1,7709460559181,7709460559181,aceite uno A x 500,abarrotes,4500,943,DISTRICUELLAR DISTRIBUCIONES CUELLAR
53,Local 1,7709452990725,7709452990725,aceite uno A x 5000,abarrotes,32800,6,DISTRICUELLAR DISTRIBUCIONES CUELLAR
54,Local 1,7709578345126,7709578345126,aceite vegetal de soya 3B 5000 ML,abarrotes,32700,1,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
55,Local 1,7709578345225,7709578345225,Aceite Vegetal de soya las 3B x 1000,CATEGORIA ESTANDAR,8500,38,COLOMBINA DISTRIBUCIONES
56,Local 1,7709578345287,7709578345287,ACEITE VEGETAL DE SOYA X 2000,abarrotes,15800,74,COMESTIBLES LABOYANA
57,Local 1,7703038060987,7703038060987,Acetaminofen 60ml,medicamentos,4000,101,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
58,Local 1,7703038065630,7703038065630,Acetaminofen 90ml,medicamentos,5000,101,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
59,Local 1,7706569001436,7706569001436,acetaminofen jarave x 90 ml,medicamentos,4800,11,DISTRIHOGAR B.B
60,Local 1,7703038040293,7703038040293,acetaminofen x 500 mg,medicamentos,2000,92,DISTRIHOGAR B.B
61,Local 1,122,122,achira r-p x libra,abarrotes,9000,984,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
62,Local 1,7709906089623,7709906089623,Achiras 110g,CATEGORIA ESTANDAR,9200,20,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
63,Local 1,7708146541229,7708146541229,Achiras 300gr,CATEGORIA ESTANDAR,22800,17,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
64,Local 1,7708146541281,7708146541281,Achiras Achiras 110gr,CATEGORIA ESTANDAR,9200,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
65,Local 1,7708146541397,7708146541397,achiras bizcocho acacias x 170 gr,abarrotes,13800,92,MULTIPAN GARZON
66,Local 1,7708146541649,7708146541649,Achiras x400gr acacias,autoservicio servitodo thaliana,29000,99,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
67,Local 1,7702011167620,7702011167620,Aciditos Dulce Duro 10Und,dulceria,8200,98,COLOMBINA DISTRIBUCIONES
68,Local 1,722,7212,Aciditos x und,dulceria,100,1000,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
69,Local 1,7707145300585,7707145300585,acido borico x 10 g,medicamentos,500,43,DISTRIMARIO SAS
70,Local 1,7702354960155,7702354960155,Aconcionador argan nutribela,aseo,1300,92,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
71,Local 1,7702354961121,7702354961121,Acondicinador Alma de Romero,aseo,1300,49,DISTRIMARIO SAS
72,Local 1,7500435153683,7500435153683,acondicionador  pantene 3 minute x 18 ml,aseo,1000,1,DISTRIMARIO SAS
73,Local 1,7702354961145,7702354961145,Acondicionador Alma de  Romero aguacate,aseo,1300,43,DISTRIMARIO SAS
74,Local 1,7702029041578,7702029041578,acondicionador konzil seda liquida x 20 ml,aseo,1200,9,DISTRIMARIO SAS
75,Local 1,7702354958145,7702354958145,acondicionador nutribela biokeratina x 15 ml,abarrotes,1000,10,DISTRICUELLAR DISTRIBUCIONES CUELLAR
76,Local 1,7702354956349,7702354956349,acondicionador nutribela enzimoterapia x 15 ml,aseo,1000,13,DISTRIMARIO SAS
77,Local 1,7702354956356,7702354956356,acondicionador nutrivela celulas madres x 15 ml,aseo,1000,7,DISTRIMARIO SAS
78,Local 1,7702354956363,7702354956363,acondicionador nutrivela pro hialuronico x 15 ml,aseo,1000,9,DISTRIMARIO SAS
79,Local 1,7702006406024,7702006406024,acondicionador savital-complejo hialuronico x 100 ml,aseo,3500,14,SURTILIMA .
80,Local 1,7702006404594,7702006404594,acondicionador savital-fucion proteinas x 100 ml,aseo,3500,104,SURTILIMA .
81,Local 1,7702006207690,7702006207690,acondicionador sedal ceremidas  x 24 ml,aseo,1200,8,DISTRIMARIO SAS
82,Local 1,7702006207706,7702006207706,acondicionador sedal keratina x 24 ml,aseo,1200,8,DISTRIMARIO SAS
83,Local 1,7702090069037,7702090069037,Acqua Frutos rojos,CATEGORIA ESTANDAR,2000,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
84,Local 1,7702090069044,7702090069044,Acqua frutos verdes,CATEGORIA ESTANDAR,2000,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
85,Local 1,7702132008581,7702132008581,Advil Ultra,medicamentos,2600,16,DISTRIMARIO SAS
86,Local 1,7702535013830,7702535013830,Agua brisa 1L,bebidas,2500,501,COCACOLA DISTRIBUCIONES
87,Local 1,7702535010327,7702535010327,Agua brisa 600ML,bebidas,2000,24,COCACOLA DISTRIBUCIONES
88,Local 1,7707055000322,7707055000322,agua carbonatada condor 335 ml,bebidas,2000,5,BAVARIA DISTRIBUCIONES
89,Local 1,7707244561283,7707244561283,agua cielo 1 litro,bebidas,2500,10,BAVARIA DISTRIBUCIONES
90,Local 1,7702090023008,7702090023008,Agua con gas 600ml,bebidas,2000,502,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
91,Local 1,7702090037784,7702090037784,agua con gas cristal x 250 ml,bebidas,1000,6,BAVARIA DISTRIBUCIONES
92,Local 1,7702090006407,7702090006407,AGUA CRISTAL 6 LITRO,bebidas,4700,29,POSTOBON .
93,Local 1,7702090003604,7702090003604,Agua cristal de 1L nueva presentacion,bebidas,2500,78,COCACOLA DISTRIBUCIONES
94,Local 1,7702090006544,7702090006544,agua cristal garrafa  x 5 litros,bebidas,8000,86,BAVARIA DISTRIBUCIONES
95,Local 1,7702090042054,7702090042054,agua cristal x 1 L,bebidas,2500,397,COCACOLA DISTRIBUCIONES
96,Local 1,7702090073065,7702090073065,AGUA CRISTAL X 300 ML,bebidas,1000,866,InterPOS
97,Local 1,7702090024906,7702090024906,AGUA CRISTAL X 360 ML,bebidas,500,14,InterPOS
98,Local 1,7702090022711,7702090022711,agua cristal x 600ml,bebidas,2000,201,COCACOLA DISTRIBUCIONES
99,Local 1,7705137110013,7705137110013,Agua oxigenada osa,abarrotes,3500,103,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
100,Local 1,7708984708709,7708984708709,agua pool 600 ml,bebidas,2000,24,BAVARIA DISTRIBUCIONES
101,Local 1,7702049150175,7702049150175,aguardiente doble anis 375 ml tapa verde,bebidas,30000,10,ALVARO MUÑOZ
102,Local 1,7702049150045,7702049150045,aguardiente doble anis tapa azul 375 ml,bebidas,35000,8,ALVARO MUÑOZ
103,Local 1,7702432433502,7702432433502,Aji pajarito 105g,CATEGORIA ESTANDAR,7000,11,GLOFER DISTRIBUCIONES
104,Local 1,7702097031327,7702097031327,aji picante la constancia x 100 g,abarrotes,4000,88,COLOMBINA DISTRIBUCIONES
105,Local 1,7702175111231,7702175111231,Ajo 55g,abarrotes,1300,102,DISTRIALDANA .
106,Local 1,7702175158526,7702175158526,ajo el rey x 13 g,abarrotes,600,5,DISTRIALDANA .
107,Local 1,7709880458972,7709880458972,ajo en polvo,autoservicio servitodo thaliana,1200,20,DISTRIALDANA .
108,Local 1,7702310047142,7702310047142,ak-1 detergente floral x 180 g,aseo,2500,78,UNIMASIVOS .
109,Local 1,7702310044257,7702310044257,Ak-1 detergente floral x 450 g,aseo,6000,93,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
110,Local 1,7702310047418,7702310047418,ak-1 detergente oxigeno activo x 180 g,aseo,2500,98,UNIMASIVOS .
111,Local 1,7702310047326,7702310047326,ak-1 MANZANA 800gr,aseo,11000,96,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
112,Local 1,7702310044981,7702310044981,AK1 1.45k floral,aseo,17000,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
113,Local 1,7702310047166,7702310047166,AK1 1.45k manzana,aseo,17000,99,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
114,Local 1,7702310047395,7702310047395,AK1 1.45k oxigeno,aseo,17000,97,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
115,Local 1,7702310048088,7702310048088,Ak1 1800 ml floral,aseo,18500,19,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
116,Local 1,7702310048118,7702310048118,Ak1 1800ml manzana,aseo,20000,18,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
117,Local 1,7702310047333,7702310047333,Ak1 800gr,aseo,11000,97,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
118,Local 1,7702310048064,7702310048064,Ak1 900ml floral,aseo,12000,16,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
119,Local 1,7702310048101,7702310048101,Ak1 900ml manzana,aseo,12000,18,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
120,Local 1,7702310048040,7702310048040,Ak1 floral 300ml,aseo,4300,0,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
121,Local 1,7705137100151,7705137100151,alcohol antiseptico osa x 120 ml,medicamentos,3000,96,DISTRIHOGAR B.B
122,Local 1,7705137882309,7705137882309,alcohol antiseptico remy x 345 ml,aseo,4400,93,DISTRIVENTAS DEL HUILA
123,Local 1,7702560026577,7702560026577,Alcohol JGB 120ml,autoservicio servitodo thaliana,3600,8,DISTRIMARIO SAS
124,Local 1,7702560009532,7702560009532,alcohol jgb 350 ml,aseo,5800,97,DISTRIMARIO SAS
125,Local 1,7702560009525,7702560009525,Alcohol jgb 700ml,CATEGORIA ESTANDAR,9500,96,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
126,Local 1,7702057075057,7702057075057,Alcohol MK 120ml,medicamentos,3500,98,DISTRIMARIO SAS
127,Local 1,7702057075088,7702057075088,Alcohol mk 350ml,medicamentos,6400,100,DISTRIMARIO SAS
128,Local 1,7702057075101,7702057075101,Alcohol MK 700ml,medicamentos,10000,98,DISTRIMARIO SAS
129,Local 1,7705137100106,7705137100106,Alcohol osa 345ml,aseo,5000,14,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
130,Local 1,7705137100113,7705137100113,Alcohol osa 700ml,CATEGORIA ESTANDAR,8000,95,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
131,Local 1,7702576000080,7702576000080,alcohol osa x 345 ml,aseo,4200,100,DISTRIVENTAS DEL HUILA
132,Local 1,7702057077112,7702057077112,Algodon 25g,abarrotes,3000,98,DISTRIMARIO SAS
133,Local 1,7702560000362,7702560000362,Algodon JGB 25g,abarrotes,2500,20,MD DISTRIBUCIONES
134,Local 1,7702560000379,7702560000379,Algodon JGB 50g,aseo,3200,8,DISTRIMARIO SAS
135,Local 1,7702057077051,7702057077051,Algodon MK 50g,medicamentos,4200,97,DISTRIMARIO SAS
136,Local 1,7702208100256,7702208100256,ALGODON PURO 25G,CATEGORIA ESTANDAR,2400,11,DISTRIVENTAS DEL HUILA
137,Local 1,7702208101000,7702208101000,algodon puro higietex x 100 g,aseo,5400,100,DISTRIHOGAR B.B
138,Local 1,7702057070311,7702057070311,alivrub mk12 gr,medicamentos,5000,4,ALVARO MUÑOZ
139,Local 1,252,252,alka seltzer,abarrotes,1200,30,ALVARO MUÑOZ
140,Local 1,84,84,almendras la negra,abarrotes,1000,1,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
141,Local 1,25,25,almidon de yuca,abarrotes,4800,1,DISTRICUELLAR DISTRIBUCIONES CUELLAR
142,Local 1,7702402058827,7702402058827,aloha cereza mandarina x 65 g,CATEGORIA ESTANDAR,2400,6,DISTRIMARCA HELADOS
143,Local 1,7702402056151,7702402056151,Aloha ice Fresa,dulceria,1300,87,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
144,Local 1,7702402056144,7702402056144,Aloha ice Limon,dulceria,1300,63,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
145,Local 1,7702001118151,7702001118151,alpin chocolate x 180 ml,bebidas,3000,35,ALPINA .
146,Local 1,12589,12589,Alpin chocolate x10,lacteos,25800,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
147,Local 1,7702001118168,7702001118168,alpin fresa x 180 ml,lacteos,3000,83,ALPINA .
148,Local 1,7702001044306,7702001044306,alpin sabor a chocolate x 200 ml,lacteos,4000,32,ALPINA .
149,Local 1,7702001044450,7702001044450,alpin sabor a fresa x 200 ml,lacteos,4000,13,ALPINA .
150,Local 1,7702001044467,7702001044467,alpin sabor a vainilla x 200 ml,lacteos,3900,4,ALPINA .
151,Local 1,7702001062263,7702001062263,alpinette mora 140 gr,lacteos,4600,18,ALPINA .
152,Local 1,7702001062218,7702001062218,alpinette sabor a cereza x 140 g,lacteos,4600,98,ALPINA .
153,Local 1,7702001062195,7702001062195,alpinette sabor a fresa x 140 g,lacteos,4600,98,ALPINA .
154,Local 1,7702001100125,7702001100125,alpinito doble sabor mix frutos rojos,dulceria,3000,0,ALPINA .
155,Local 1,7702001100163,7702001100163,alpinito max x 90 gr,dulceria,3000,2,ALPINA .
156,Local 1,7702001100156,7702001100156,alpinito max x 90 gr fresa,dulceria,3000,4,ALPINA .
157,Local 1,7702001100064,7702001100064,alpinito sabor a fresa x 45 g,lacteos,2000,966,ALPINA .
158,Local 1,7702001100071,7702001100071,alpinito sabor a melocoton x 45 g,lacteos,2000,68,ALPINA .
159,Local 1,7702001100088,7702001100088,alpinito sabor a mora x 45 g,lacteos,2000,38,ALPINA .
160,Local 1,7707337871077,7707337871077,alpiste grano grande 454 gr,abarrotes,2800,5,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
161,Local 1,7702910351083,7702910351083,alpiste la soberana x 460 g,abarrotes,2800,101,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
162,Local 1,7702521559175,7702521559175,alpo adultos todos los tamañosx 400 gr,carnicos,3800,0,ALVARO MUÑOZ
163,Local 1,7707331407760,7707331407760,AlqueMIX FLIPS 170g,lacteos,4300,100,BIMBO DISTRIVENTAS DEL SUR
164,Local 1,7707331407791,7707331407791,AlqueMIX Hojuelas Crunchy 170g,lacteos,4300,100,ALPINA .
165,Local 1,7707331407807,7707331407807,AlqueMIX Milo 170g,lacteos,4300,100,BIMBO DISTRIVENTAS DEL SUR
166,Local 1,7702177643907,7702177643907,Alqueria 400ml,abarrotes,2200,3,BIMBO DISTRIVENTAS DEL SUR
167,Local 1,7702177614198,7702177614198,Alqueria 900ml,CATEGORIA ESTANDAR,4800,12,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
168,Local 1,7707331400143,7707331400143,Alqueria Cereal FORTIKIDS 120g,lacteos,2500,98,BIMBO DISTRIVENTAS DEL SUR
169,Local 1,7707331400150,7707331400150,Alqueria Cereal FORTIKIDS 120g,lacteos,2500,100,BIMBO DISTRIVENTAS DEL SUR
170,Local 1,7707529520523,7707529520523,Alqueria cremoso fresa,lacteos,2000,98,DISTRIVENTAS DEL HUILA
171,Local 1,7707529520530,7707529520530,Alqueria cremoso melocoton,lacteos,2000,99,DISTRIVENTAS DEL HUILA
172,Local 1,7707529520653,7707529520653,Alqueria cremoso mora,lacteos,2000,98,DISTRIVENTAS DEL HUILA
173,Local 1,7702177023426,7702177023426,ALQUERIA DESLACTOSADA X 400ML,CATEGORIA ESTANDAR,2200,20,DISTRIVENTAS DEL HUILA
174,Local 1,7702177023648,7702177023648,alqueria suero costeño original x 400 g,abarrotes,9500,100,BIMBO DISTRIVENTAS DEL SUR
175,Local 1,734191236169,734191236169,Aluminio 16mt,aseo,6000,97,JHONATAN BOLSAS
176,Local 1,7709477054037,7709477054037,Aluminio 7 m,papeleria,3200,94,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
177,Local 1,14115,01560,Aluminio el sol 7m,CATEGORIA ESTANDAR,3000,99,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
178,Local 1,7702175108552,7702175108552,amarillorey el rey x 60 g,abarrotes,1200,13,DISTRIALDANA .
179,Local 1,7702354954994,7702354954994,amper energy 473 ml azul,bebidas,3300,80,ALVARO MUÑOZ
180,Local 1,7702354953546,7702354953546,amper energy negra 473 ml,bebidas,3300,97,ALVARO MUÑOZ
181,Local 1,7702354959401,7702354959401,Amper mango,bebidas,3300,68,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
182,Local 1,7702354957537,7702354957537,amper predator x 473 ml,bebidas,3300,76,InterPOS
183,Local 1,7703153039752,7703153039752,ampicilina x 500 g,medicamentos,600,40,DISTRIMARIO SAS
184,Local 1,7708304268265,7708304268265,andecol jumbo escoba,CATEGORIA ESTANDAR,9000,3,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
185,Local 1,7707430873206,7707430873206,andina dorada 350 ml,bebidas,2500,48,BAVARIA DISTRIBUCIONES
186,Local 1,7707430875095,7707430875095,Andina light,bebidas,2000,83,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
187,Local 1,7707430871271,7707430871271,andina refajo 350 ml,bebidas,3000,4,InterPOS
188,Local 1,12465123,545454,Anis la negra,autoservicio servitodo thaliana,1000,987,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
189,Local 1,7707014904326,7707014904326,anis relleno americandy 100,CATEGORIA ESTANDAR,7300,1,ALVARO MUÑOZ
190,Local 1,7702011016812,7702011016812,anisadas dulce duro relleno x 100 unidades,dulceria,8200,95,COLOMBINA DISTRIBUCIONES
191,Local 1,7702191360385,7702191360385,aomatel suavitel mandarina y flor de loto de 420 ml,aseo,3000,47,DISTRIMARIO SAS
192,Local 1,7702123006916,7702123006916,apronax gel x 275 ml,aseo,2500,8,DISTRIVENTAS DEL HUILA
193,Local 1,132,132,apronax liquido gel x 275 ml,medicamentos,2500,10,DISTRIHOGAR B.B
194,Local 1,01234,01234,Aqua bolsa x 20 unid,CATEGORIA ESTANDAR,6000,96,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
195,Local 1,7709711708733,7709711708733,Aqua Chupo,autoservicio servitodo thaliana,2500,129,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
196,Local 1,7709711708764,7709711708764,aqua fresh 350 ml,bebidas,500,7,InterPOS
197,Local 1,7702044289078,7702044289078,arden for men clinical,aseo,1200,95,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
198,Local 1,7702044295093,7702044295093,arden for men original x 12 g,aseo,1500,83,DISTRIMARIO SAS
199,Local 1,7702910578664,7702910578664,arepa arepa choclo x 500 g,abarrotes,4700,41,DISTRICUELLAR DISTRIBUCIONES CUELLAR
200,Local 1,7702910002046,7702910002046,arepa arepa maiz amarillo x 500 g,abarrotes,1700,114,DISTRICUELLAR DISTRIBUCIONES CUELLAR
201,Local 1,7702910002015,7702910002015,arepa arepa maiz blanco x 500 g,abarrotes,1800,2,DISTRICUELLAR DISTRIBUCIONES CUELLAR
202,Local 1,7702910305215,7702910305215,arepa mantequilla y sal x 500 g,abarrotes,2700,26,DISTRICUELLAR DISTRIBUCIONES CUELLAR
203,Local 1,161,161,Arepas para asar *5,abarrotes,5000,920,ALVARO MUÑOZ
204,Local 1,37,37,arepas x 12 und,abarrotes,2400,814,COMESTIBLES LABOYANA
205,Local 1,67,67,arepas x unidad,abarrotes,200,576,ALPINA .
206,Local 1,7702001082018,7702001082018,arequipe alpina,dulceria,2400,84,ALPINA .
207,Local 1,7702001054718,7702001054718,Arequipe Alpina 220,CATEGORIA ESTANDAR,8600,1,ALPINA .
208,Local 1,7707197521037,7707197521037,arequipe alqueria 50 gr,dulceria,2200,5,BIMBO DISTRIVENTAS DEL SUR
209,Local 1,7702097128041,7702097128041,arequipe dulce de leche x 220 g,CATEGORIA ESTANDAR,7200,47,COLOMBINA DISTRIBUCIONES
210,Local 1,7500435149570,260531,Ariel 2kg revitacolor,CATEGORIA ESTANDAR,26900,1,SURTILIMA .
211,Local 1,7506339391657,7506339391657,Ariel 2kg triple poder,aseo,26900,99,SURTILIMA .
212,Local 1,7500435160193,7500435160193,Ariel Revita color x225g,CATEGORIA ESTANDAR,3300,5,SURTILIMA .
213,Local 1,7500435251273,7500435251273,Ariel revitacolor 100g,CATEGORIA ESTANDAR,1600,13,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
214,Local 1,7500435149563,7500435149563,Ariel Revitacolor 1kg,CATEGORIA ESTANDAR,13000,3,DISTRICUELLAR DISTRIBUCIONES CUELLAR
215,Local 1,7500435251600,7500435251600,Ariel revitacolor 700g,CATEGORIA ESTANDAR,9000,98,SURTILIMA .
