id,almacen,referencia,cod_barra,producto,categoria,precio_venta,cantidad,proveedor
1193,Local 1,7702521495046,7702521495046,dog chow purina 350 gr,abarrotes,4500,3,PROGRESAR NESTLE
1194,Local 1,7702521034986,7702521034986,dog chow purina adultos minis y pequeño 350 gr,CATEGORIA ESTANDAR,4000,96,PROGRESAR NESTLE
1195,Local 1,7501072220899,7501072220899,dog show nutricion carne adulto,CATEGORIA ESTANDAR,2800,3,ALPINA .
1196,Local 1,7707397791629,7707397791629,Dolex Forte,CATEGORIA ESTANDAR,2200,15,DISTRIMARIO SAS
1197,Local 1,7702084057378,7702084057378,Don kat adultos,autoservicio servitodo thaliana,4600,4,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1198,Local 1,7702084000077,7702084000077,Don kat Cachorros,autoservicio servitodo thaliana,4500,96,MD DISTRIBUCIONES
1199,Local 1,7702193101252,7702193101252,don pancho avena en hojuelas x 180 g,abarrotes,2200,24,DISTRIMARIO SAS
1200,Local 1,7702193103119,7702193103119,don pancho mega bolsa x 600 g,abarrotes,7200,18,DISTRIMARIO SAS
1201,Local 1,7702193100491,7702193100491,don pancho mega bolsaen hojuela x 600 ml,abarrotes,5300,28,ALVARO MUÑOZ
1202,Local 1,7702084000008,7702084000008,donkan carne y cereal x 500 g,abarrotes,4000,91,MD DISTRIBUCIONES
1203,Local 1,7702084057156,7702084057156,donkat adultos,abarrotes,6700,93,MD DISTRIBUCIONES
1204,Local 1,7702084057125,7702084057125,donkat gaticos x 500 g,abarrotes,7200,24,MD DISTRIBUCIONES
1205,Local 1,7702011209085,7702011209085,Doraditas minitaco,dulceria,2900,93,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1206,Local 1,7702011003812,7702011003812,Doraditas x 4,dulceria,9200,99,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1207,Local 1,8801038568362,8801038568362,Dorco amarilla,CATEGORIA ESTANDAR,1000,30,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1208,Local 1,8801038593180,8801038593180,dorco x 3 hojas,aseo,1800,13,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1209,Local 1,8801038200026,8801038200026,dorco x 5 hojas,aseo,1500,77,DISTRIHOGAR B.B
1210,Local 1,7702085012307,7702085012307,Doria argollitas 250gr,CATEGORIA ESTANDAR,2400,13,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1211,Local 1,7702085013076,7702085013076,Doria Cabello de Angel x500g,autoservicio servitodo thaliana,4300,4,GERDY DISTRIBUCIONES
1212,Local 1,7702085012123,7702085012123,Doria Conchas 250g,autoservicio servitodo thaliana,2400,78,GERDY DISTRIBUCIONES
1213,Local 1,7702085012178,7702085012178,Doria Corbatines 250g,autoservicio servitodo thaliana,2400,115,GERDY DISTRIBUCIONES
1214,Local 1,7702085012062,7702085012062,Doria fideo 250gr,CATEGORIA ESTANDAR,2400,2,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1215,Local 1,7702085012246,7702085012246,Doria Letras 250g,autoservicio servitodo thaliana,2400,113,GERDY DISTRIBUCIONES
1216,Local 1,7702085012093,7702085012093,Doria Macarron 250g,autoservicio servitodo thaliana,2400,4,GERDY DISTRIBUCIONES
1217,Local 1,7702085012420,7702085012420,Doria Rigatoni 250g,autoservicio servitodo thaliana,2300,3,GERDY DISTRIBUCIONES
1218,Local 1,7702085012482,7702085012482,Doria tornillos 250gr,abarrotes,2400,71,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1219,Local 1,7702189053817,7702189053817,dorito mega queso x45 gr,abarrotes,2800,31,MARGARITA DISTRIBUCIONES CUEVAS
1220,Local 1,7702189057921,7702189057921,doritos dinamita flamin hot 50 gr,abarrotes,3400,95,MARGARITA DISTRIBUCIONES CUEVAS
1221,Local 1,7702189057945,7702189057945,doritos dinamita limon taquero 50 gr,CATEGORIA ESTANDAR,3100,2,MARGARITA DISTRIBUCIONES CUEVAS
1222,Local 1,7702189060228,7702189060228,doritos dinamita ruleta flamin hot x 50 gr,dulceria,3400,3,MARGARITA DISTRIBUCIONES CUEVAS
1223,Local 1,7702189055835,7702189055835,Doritos flamin hot,CATEGORIA ESTANDAR,2800,83,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1224,Local 1,7702189059802,7702189059802,DORITOS FLAMIN-HOL X 46 G,CATEGORIA ESTANDAR,2600,6,MARGARITA DISTRIBUCIONES CUEVAS
1225,Local 1,7702189060433,7702189060433,doritos incognita x40 gr,dulceria,3200,10,MARGARITA DISTRIBUCIONES CUEVAS
1226,Local 1,7702189059840,7702189059840,Doritos Jalapeño 150gr,CATEGORIA ESTANDAR,6800,1,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1227,Local 1,7702189060280,7702189060280,doritos jalapeño x 41 gr,dulceria,2800,3,MARGARITA DISTRIBUCIONES CUEVAS
1228,Local 1,7702189045782,7702189045782,doritos mega queso x 185 g,abarrotes,9400,1,MARGARITA DISTRIBUCIONES CUEVAS
1229,Local 1,7702189059796,7702189059796,doritos pizza 46 gr,CATEGORIA ESTANDAR,2600,6,MARGARITA DISTRIBUCIONES CUEVAS
1230,Local 1,7702189059819,7702189059819,DORITOS QUESO X 48 G,CATEGORIA ESTANDAR,2600,9,MARGARITA DISTRIBUCIONES CUEVAS
1231,Local 1,7702189060006,7702189060006,DORITOS SABOR BBQ Dulce picante X41G,dulceria,2800,85,COLOMBINA DISTRIBUCIONES
1232,Local 1,7702189060235,7702189060235,Doriyos Dinamita ruleta limon taquero,dulceria,3400,93,GLOFER DISTRIBUCIONES
1233,Local 1,7702006204323,7702006204323,Dove acondicionador,aseo,1000,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1234,Local 1,7506306241183,7506306241183,dove aerosol original 150 ml,aseo,19600,2,DISTRIMARCA HELADOS
1235,Local 1,7891150034075,7891150034075,dove cuidado indulgente 90 gr,aseo,5700,94,UNIMASIVOS .
1236,Local 1,7702006204408,7702006204408,"dove desodorante x 8,5 g",aseo,1600,11,DISTRIMARIO SAS
1237,Local 1,7891150050488,7891150050488,Dove Hidratacion shampoo,CATEGORIA ESTANDAR,23800,2,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1238,Local 1,7891150019560,7891150019560,dove jabon karite 90 gr,aseo,5700,96,UNIMASIVOS .
1239,Local 1,7702006302159,7702006302159,dove jabon original 90 gr,aseo,5400,98,UNIMASIVOS .
1240,Local 1,78931640,78931640,dove men + care x 30 ml,aseo,4200,3,UNIMASIVOS .
1241,Local 1,7791293022819,7791293022819,dove men + core 150 ml,aseo,18500,2,UNIMASIVOS .
1242,Local 1,7791293012087,7791293012087,DOVE MEN CARE X 89G,CATEGORIA ESTANDAR,18500,1,ALPINA .
1243,Local 1,7891150051942,7891150051942,Dove original 75gr,aseo,4000,98,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1244,Local 1,78931633,78931633,dove original x 30 ml,aseo,4200,3,UNIMASIVOS .
1245,Local 1,7702006653084,7702006653084,DOVE RECONSTRUCCION KERATINA ACONDICIONADOR 18 ML,CATEGORIA ESTANDAR,1200,5,UNIMASIVOS .
1246,Local 1,78928503,78928503,dove rol calendula 50 ml,aseo,11500,2,UNIMASIVOS .
1247,Local 1,7702006302432,7702006302432,Dove shampoo hidratacion,CATEGORIA ESTANDAR,1000,2,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1248,Local 1,75062828,75062828,dove tono uniforme calendula 45 gr,aseo,19600,2,UNIMASIVOS .
1249,Local 1,7506306241152,7506306241152,dove tono uninforme calendula x 87 g,aseo,19600,1,UNIMASIVOS .
1250,Local 1,7501072220905,7501072220905,dow chow nutricion reforsada adulto,CATEGORIA ESTANDAR,2800,3,ALPINA .
1251,Local 1,7501033210808,7501033210808,dsodorante speed stick x 8 g,aseo,1200,53,DISTRIVENTAS DEL HUILA
1252,Local 1,7702025137770,7702025137770,Ducales provocacion x6,CATEGORIA ESTANDAR,9800,1,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1253,Local 1,7707014904241,7707014904241,dulce fruti candy x 100 unid,CATEGORIA ESTANDAR,6500,5,ALVARO MUÑOZ
1254,Local 1,7702057091163,7702057091163,duraflex muscular,medicamentos,3200,49,ALVARO MUÑOZ
1255,Local 1,6987556331427,6987556331427,Duralight 15W,CATEGORIA ESTANDAR,8500,99,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1256,Local 1,7708566677584,7708566677584,Duraznos Dcosechas lata x425g,abarrotes,8000,5,DISTRIMARCA HELADOS
1257,Local 1,7700149010726,7700149010726,Duraznos MiDia 820gr,CATEGORIA ESTANDAR,13000,3,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1258,Local 1,7702025185368,7702025185368,Dux integral x9,CATEGORIA ESTANDAR,8700,49,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1259,Local 1,7702025101290,7702025101290,Dux Original,CATEGORIA ESTANDAR,1000,27,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1260,Local 1,7702025134366,7702025134366,Dux rellena de queso,CATEGORIA ESTANDAR,9200,1,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1261,Local 1,7702025137619,7702025137619,Dux rellena de queso indv,CATEGORIA ESTANDAR,1600,6,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1262,Local 1,7702025101306,7702025101306,Dux x9,CATEGORIA ESTANDAR,8700,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1263,Local 1,7702191523353,7702191523353,Ego vitamin+care,aseo,3600,40,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1264,Local 1,7702024854487,7702024854487,El rodeo 600gr,CATEGORIA ESTANDAR,17600,3,ALPINA .
1265,Local 1,7702024857778,7702024857778,el rodeo esencial x 75 g,abarrotes,3000,4,PROGRESAR NESTLE
1266,Local 1,7702024446934,7702024446934,el rodeo x 187 g,abarrotes,10000,3,PROGRESAR NESTLE
1267,Local 1,7702024454151,7702024454151,el rodeo x 25 g,abarrotes,1100,63,PROGRESAR NESTLE
1268,Local 1,7501125176470,7501125176470,electrolit fresa 625 ml,bebidas,9000,102,BAVARIA DISTRIBUCIONES
1269,Local 1,7501125184864,7501125184864,Electrolit Maracuya x625Ml,bebidas,9000,93,BAVARIA DISTRIBUCIONES
1270,Local 1,7501125176500,7501125176500,Electrolit naranja mandarina,bebidas,9000,6,BAVARIA DISTRIBUCIONES
1271,Local 1,7502316493284,7502316493284,Electrolit Ponche de frutas,bebidas,9000,102,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1272,Local 1,7501125176531,7501125176531,electrolit sabor a fresa - Kiwi x 625 ml,medicamentos,9000,107,BAVARIA DISTRIBUCIONES
1273,Local 1,7501125185182,7501125185182,electrolit sabor a jamaica x 625 ml,medicamentos,8000,3,BAVARIA DISTRIBUCIONES
1274,Local 1,7501125184277,7501125184277,electrolit sabor a mora azul x 625 ml,bebidas,9000,12,TECNOVENTAS DISTRIBUCIONES
1275,Local 1,7501125176548,7501125176548,electrolit sabor a uva x 625 ml,medicamentos,9000,102,BAVARIA DISTRIBUCIONES
1276,Local 1,7707199348168,7707199348168,elite duo x 12 rollos,aseo,25200,7,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1277,Local 1,7709554623590,7709554623590,elite duo x 4 rollos,aseo,8600,7,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1278,Local 1,7707199343699,7707199343699,elite duo x 6 rollos,aseo,12200,92,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1279,Local 1,7707199342210,7707199342210,Elite max resistente,CATEGORIA ESTANDAR,1300,21,COMESTIBLES LABOYANA
1280,Local 1,7707199344184,7707199344184,elite max resistente x 4 rollos,aseo,5700,8,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1281,Local 1,7707199344979,7707199344979,Elite suave y resistente,CATEGORIA ESTANDAR,2000,24,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1282,Local 1,7707199345723,7707199345723,elite suave y resistente x 12 rollos,aseo,16000,1000,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1283,Local 1,7709554623545,7709554623545,elite suave y resistente x 4 rollos,aseo,6200,8,ALVARO MUÑOZ
1284,Local 1,7709554623514,7709554623514,elite ultra x 4,aseo,8800,1,DISTRICUELLAR DISTRIBUCIONES CUELLAR
1285,Local 1,7702044246385,7702044246385,elizabeth arden classic x 12 g,aseo,1400,18,DISTRIHOGAR B.B
1286,Local 1,7702108206799,7702108206799,ellas toallas higienicas delgada con alas x 8,aseo,3000,2,DISTRIMARIO SAS
1287,Local 1,7708874412709,7708874412709,empanada yul  x 25 und grande,carnicos,20500,1,ALVARO MUÑOZ
1288,Local 1,7708874412860,7708874412860,empanada yul x 10 und grande,carnicos,7800,1,ALVARO MUÑOZ
1289,Local 1,7709839332117,7709839332117,Empanadas Don Juan x25u,CATEGORIA ESTANDAR,19800,100,CAROLINA DE GARZON SOCIEDAD DEPOSITO CAROLINA
1290,Local 1,7708874412556,7708874412556,empanadas yul  x 25 unidades,abarrotes,17000,2,DISTRIMARCA HELADOS
1291,Local 1,5731764787511,5731764787511,Encendedor Soplete  recargable,abarrotes,3500,12,PLASTICO SURCOLOMBIANO
